Arousal,Compound,Dominance,Flair,POS nlkt,POS spcy,POS stza,Stanza,Subjectivity,Valence,category,word
0.55,-0.3,0.74,NEGATIVE,NOUN,INTJ,INTJ,0.0,0.0,0.89,confident,no
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,af  e
0.55,0.0,0.74,POSITIVE,NOUN,VERB,PROPN,1.0,0.0,0.89,confident,aneka
0.55,-0.32,0.74,NEGATIVE,NOUN,VERB,NOUN,1.0,0.0,0.89,confident,struggle
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.89,confident,content
0.55,0.0,0.74,POSITIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,hold
0.55,0.36,0.74,POSITIVE,ADJ,ADJ,ADJ,1.0,0.4,0.89,confident,natural
0.55,0.51,0.74,POSITIVE,VERB,VERB,VERB,2.0,0.0,0.89,confident,admired
0.55,0.0,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,gives
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,VERB,1.0,0.0,0.89,confident,compete
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,SYM,1.0,0.0,0.89,confident,wid
0.55,0.0,0.74,POSITIVE,ADJ,ADJ,ADJ,1.0,0.0,0.89,confident,venerable
0.55,0.0,0.74,POSITIVE,VERB,VERB,NOUN,1.0,0.0,0.89,confident,chasing
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,tahun
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,da
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,tribe
0.55,0.0,0.74,NEGATIVE,ADV,ADV,ADV,1.0,0.0,0.89,confident,sometimes
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,day
0.55,0.36,0.74,POSITIVE,NOUN,SCONJ,INTJ,1.0,0.0,0.89,confident,like
0.55,0.0,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,vetted
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,ADJ,2.0,0.0,0.89,confident,wholesome
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,grandmother
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,partner
0.55,0.49,0.74,POSITIVE,NOUN,PROPN,NOUN,2.0,0.0,0.89,confident,laughs
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,pocketbac
0.55,0.0,0.74,POSITIVE,ADJ,PROPN,ADJ,1.0,0.0,0.89,confident,white
0.55,0.03,0.74,POSITIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,reach
0.55,0.0,0.74,POSITIVE,ADJ,ADJ,ADJ,2.0,1.0,0.89,confident,mysterious
0.55,0.2,0.74,POSITIVE,ADJ,ADJ,ADJ,1.0,1.0,0.89,confident,important
0.55,0.44,0.74,POSITIVE,VERB,VERB,VERB,2.0,0.25,0.89,confident,supporting
0.55,0.51,0.74,POSITIVE,NOUN,NOUN,VERB,1.0,0.0,0.89,confident,trust
0.55,0.0,0.74,NEGATIVE,ADJ,PROPN,SYM,1.0,0.0,0.89,confident,jual
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,throne
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,aquapix
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,pastor
0.55,0.0,0.74,POSITIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,driven
0.55,0.0,0.74,POSITIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,invest
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,bestfriend
0.55,0.0,0.74,POSITIVE,NOUN,ADJ,PROPN,1.0,0.0,0.89,confident,hemat
0.55,0.0,0.74,POSITIVE,ADV,ADV,ADV,1.0,0.0,0.89,confident,therefore
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,ang
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,INTJ,1.0,0.0,0.89,confident,hun
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,teenage
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,VERB,1.0,0.0,0.89,confident,tickle
0.55,0.0,0.74,NEGATIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,knees
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.89,confident,purpose
0.55,0.2,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,chances
0.55,0.27,0.74,POSITIVE,NOUN,VERB,VERB,2.0,0.0,0.89,confident,create
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,tribunal
0.55,0.4,0.74,POSITIVE,ADJ,ADJ,ADJ,1.0,0.5,0.89,confident,romantic
0.55,0.0,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,choosing
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,gut
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,tribune
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,ADJ,1.0,0.0,0.89,confident,pulsa
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,font
0.55,0.46,0.74,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.89,confident,benefit
0.55,-0.36,0.74,NEGATIVE,NOUN,NOUN,NOUN,0.0,0.0,0.89,confident,ignorance
0.55,0.0,0.74,POSITIVE,ADV,ADV,INTJ,1.0,0.0,0.89,confident,verily
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,reflection
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,soldiers
0.55,0.0,0.74,POSITIVE,VERB,VERB,VERB,1.0,0.0,0.89,confident,verified
0.55,0.0,0.74,POSITIVE,NOUN,ADJ,ADJ,1.0,0.0,0.89,confident,standard amp
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,cycle
0.55,0.0,0.74,NEGATIVE,NOUN,DET,PRON,1.0,0.0,0.89,confident,my
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,terbang
0.55,0.42,0.74,POSITIVE,ADJ,ADJ,ADJ,2.0,0.9,0.89,confident,popular
0.55,0.38,0.74,POSITIVE,NOUN,VERB,VERB,1.0,0.0,0.89,confident,protect
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,stoke
0.55,-0.38,0.74,NEGATIVE,ADJ,ADJ,ADJ,2.0,0.0,0.89,confident,lowest
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,ADJ,1.0,0.0,0.89,confident,lessthan  seconds
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,queen
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,ADV,1.0,0.0,0.89,confident,jellylens
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,pesawat
0.55,-0.42,0.74,NEGATIVE,NOUN,NOUN,VERB,1.0,0.0,0.89,confident,lies
0.55,0.46,0.74,POSITIVE,NOUN,ADJ,ADJ,2.0,1.0,0.89,confident,cute
0.55,0.0,0.74,NEGATIVE,NOUN,ADJ,PROPN,1.0,0.0,0.89,confident,unik
0.55,-0.4,0.74,NEGATIVE,NOUN,NOUN,NOUN,0.0,0.0,0.89,confident,problem
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,proof
0.55,0.46,0.74,POSITIVE,NOUN,PROPN,ADJ,2.0,0.83,0.89,confident,clever
0.55,0.53,0.74,POSITIVE,NOUN,ADJ,ADJ,2.0,1.0,0.89,confident,sexy
0.55,0.13,0.74,NEGATIVE,ADJ,ADJ,ADJ,1.0,0.0,0.89,confident,zealous
0.55,0.0,0.74,POSITIVE,ADV,ADV,ADV,1.0,0.3,0.89,confident,personally
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,model
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,opinions
0.55,0.49,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,trusty
0.55,0.54,0.74,POSITIVE,NOUN,NOUN,NOUN,2.0,0.0,0.89,confident,peace
0.55,0.0,0.74,POSITIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,fairy
0.55,-0.51,0.74,NEGATIVE,NOUN,NOUN,NOUN,0.0,0.0,0.89,confident,liar
0.55,0.0,0.74,NEGATIVE,NOUN,NOUN,PROPN,1.0,0.0,0.89,confident,samelove
0.55,0.0,0.74,NEGATIVE,NOUN,NOUN,NOUN,1.0,0.0,0.89,confident,translation
0.55,0.0,0.74,NEGATIVE,VERB,PROPN,VERB,0.0,0.0,0.89,confident,busted
0.55,0.6,0.74,POSITIVE,VERB,VERB,ADJ,1.0,0.95,0.89,confident,loving
0.55,0.0,0.74,POSITIVE,NOUN,ADV,ADV,1.0,0.0,0.89,confident,how
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,rb
0.55,0.46,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,acceptance
0.55,0.0,0.74,NEGATIVE,NOUN,PROPN,PROPN,1.0,0.0,0.89,confident,ef
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,NOUN,1.0,0.0,0.89,confident,appearance
0.55,0.0,0.74,POSITIVE,NOUN,PROPN,ADJ,2.0,0.0,0.89,confident,christian
0.55,0.44,0.74,POSITIVE,ADJ,ADJ,ADJ,2.0,1.0,0.89,confident,creative
0.55,0.0,0.74,POSITIVE,ADV,ADV,ADV,1.0,0.0,0.89,confident,always
0.55,0.0,0.74,POSITIVE,NOUN,ADJ,PROPN,1.0,0.0,0.89,confident,joint
